FID,POLYGON_ME,X,Y,F2013LIDAR
153,740,"585,735.121594000030000","7,910,649.847889999900000",5.032999992370000
154,841,"585,886.190625000050000","7,910,648.205780000400000",5.028999805450000
155,721,"585,713.954241000000000","7,910,647.588449999700000",4.926000118260000
156,836,"585,908.415670000020000","7,910,647.094519999800000",4.966000080110000
157,831,"585,892.858138000010000","7,910,645.824520000300000",4.894000053410000
158,873,"585,880.793114000000000","7,910,645.824520000300000",4.889999866490000
159,711,"585,726.678437000020000","7,910,645.566850000100000",4.881000041960000
160,769,"585,815.209388999970000","7,910,645.300649999600000",4.951000213620000
161,716,"585,705.154330000050000","7,910,645.091180000500000",4.889999866490000
162,730,"585,658.538584999970000","7,910,644.663069999800000",5.118000030520000
163,830,"585,886.666876000000000","7,910,644.078270000400000",4.916999816890000
164,728,"585,668.170919999950000","7,910,643.949570000200000",5.208000183110000
165,872,"585,865.711833999960000","7,910,643.919520000000000",4.977000236510000
166,759,"585,781.356802999970000","7,910,643.913890000400000",4.973999977110000
167,715,"585,692.549052000050000","7,910,643.664160000200000",5.155000209810000
168,709,"585,737.602914000050000","7,910,643.214130000200000",5.150000095370000
169,710,"585,719.543374000000000","7,910,642.118230000100000",4.842000007630000
170,729,"585,674.210780999970000","7,910,641.608780000400000",5.210000038150000
171,770,"585,813.939387000050000","7,910,641.331890000000000",5.118000030520000
172,871,"585,856.283835000010000","7,910,641.237309999800000",4.953999996190000
173,762,"585,803.118744999990000","7,910,639.632849999700000",4.828000068660000
174,714,"585,691.359874999970000","7,910,639.026370000100000",4.895999908450000
175,832,"585,902.859408000020000","7,910,638.363260000000000",4.993000030520000
176,708,"585,729.056790999950000","7,910,638.312869999600000",4.843999862670000
177,745,"585,760.094314999990000","7,910,637.242610000100000",4.921000003810000
178,720,"585,679.230268000040000","7,910,637.004770000500000",5.089000225070000
179,869,"585,817.134237000020000","7,910,636.616999999600000",5.107999801640000
180,707,"585,723.943329000030000","7,910,636.529099999900000",4.962999820710000
181,713,"585,697.067924999980000","7,910,636.053430000300000",4.998000144960000
182,826,"585,883.650619999970000","7,910,635.347000000100000",5.051000118260000
183,868,"585,822.690498000010000","7,910,634.553249999900000",4.948999881740000
184,833,"585,848.408049999970000","7,910,634.076999999600000",4.777999877930000
