point ID,X,Y
216,585713.7766512791,7910410.514924441
217,585661.9182142308,7910399.137818355
218,585668.8400950059,7910402.718101516
219,585677.2640782529,7910407.075334229
220,585644.455679304,7910390.671134759
221,585648.6890211049,7910391.200302478
222,585652.6577790435,7910397.814899042
223,585623.3849292211,7910401.680333979
224,585634.4564587269,7910401.494282946
225,585646.5723502049,7910401.254489254
226,585575.6638750546,7910425.067036886
227,585592.5972422557,7910427.977459367
228,585863.8930460345,7910439.883502509
229,585872.0951457713,7910423.214719169
230,585859.6597042354,7910420.03971282
231,585853.5742753968,7910427.977228694
232,585855.9555301592,7910436.97308002
233,585838.7575790975,7910427.977228694
234,585836.1117404727,7910441.471005682
235,585842.9909208966,7910449.143937696
236,585849.2084003445,7910443.30712026
237,585828.1742245974,7910432.739738218
238,585830.8200632213,7910443.323092721
239,585826.3221375588,7910429.56473187
240,585815.7387830587,7910443.058508858
241,585800.6575028971,7910438.825167056
242,585805.9491801476,7910440.941837959
243,585782.401216385,7910429.035564143
244,585780.8137132097,7910434.591825258
245,585795.3658256484,7910442.529341135
246,585758.8532526232,7910421.362632133
247,585768.1136878096,7910426.125141658
248,585746.9469788102,7910418.981377374
249,585754.355326958,  7910421.627216
250,585735.8344565835,7910416.600122608
251,585728.9552761596,7910413.689700123
252,585724.986518221,7910416.864706475
253,585762.5574266985,7910442.793924995
254,585771.8178618858,7910447.821018383
255,585756.2074139975,7910439.618918642
256,585743.5073885974,7910435.120992985
257,585728.6906922963,7910434.591825258
258,585715.990666897,7910425.860557798
259,585689.267696782,7910419.245961234
